ID,CommunityArea,Region,"Infant Mortality (per 100,000 Residents)",Child Uninsurance Rate (%),"Vaccine-Preventable Diseases Reported, 2000-2014",Overweight or Obese CPS students (%),"Teen Birth Rate (per 1,000)",Preterm Births (%),Mothers Receiving Prenatal Care During First Trimester (%),"Chlamydia Prevalence, 15-19 Year Old Females (%)","Children with Elevated Lead Blood Levels, 2014 (%)","Life Expectancy at Birth, 2010","Annual Years of Potential Life Lost (per 100,000 residents)",Obesity Prevalence Estimate (%),"Stroke Mortality (per 100,000 Residents)","CHD Mortality (per 100,000 Residents)","Heart Disease Mortality (per 100,000 Residents)","Cancer Mortality (per 100,000 Residents)","Lung Cancer Mortality (per 100,000 Residents)","Breast Cancer Mortality (per 100,000 Residents)","Cervical Cancer Mortality (per 100,000 Residents)","Colorectal Cancer Mortality (per 100,000 Residents)","Prostate Cancer Mortality (per 100,000 Residents)","Diabetes Related Mortality (per 100,000 Residents)","Alzheimers Mortality (per 100,000 Residents)","HIV Mortality (per 100,000 Residents)","Accidents Mortality (per 100,000 Residents)","Homicides Mortality (per 100,000 Residents)","Firearm Related Mortality (per 100,000 Residents)","Motor Vehicle Mortality (per 100,000 Residents)","Suicides Mortality (per 100,000 Residents)","Drug Induced Mortality (per 100,000 Residents)","Alchohol Induced Mortality (per 100,000 Residents)","Asthma Mortality (per 100,000 Residents)","Pulmonary Disease Mortality (per 100,000 Residents)","Diet-Related Mortality (per 100,000 Residents)",Hardship Index 2012,Educational Opportunity Index,"Child Opportunity Index, 2014",Race-Ethnicity Diversity Index,Income Diversity Index,Population,"Change in Population, 2000 - 2012","Change in 25-34 Year Olds with College Degree 2000, to 2012",2010 Socioeconomic Index,"Socioeconomic Index Change, 2000-2010",Latino (%),"White, Non-Hispanic (%)","Black, Non-Hispanic (%)","Asian, Non-Hispanic (%)",Foreign-Born (%),Not US Citizen (%),Disabled (%),Limited English Proficiency (%),Age <5 (%),Age <18 (%),Age 65+ (%),Families with Children (%),Single-Mother Headed Households (%),Single Parent Headed Households (%),Seniors Living Alone (%),Households with Youth (%),Grandparents Raising Grandchildren (%),Median HH Income ($),Per Capita Income ($),Unemployment (%),Households Receiving SNAP Benefits (%),Households in Poverty (%),Children Living in Poverty (%),Food Insecure (%),Less than HS Grad (%),HS Grad or Higher (%),College Educated (%),"Low Income Student Enrollment, Chicago Public Schools (%)",5-Year Dropout Rate (%),Median Home Value ($),"Change in Median Home Value, 2006-2012 (%)",Vacant Residence (%),Owner-Occupied Residence (%),Renter-Occupied Residence (%),Moved to Residence Since 2010 (%),Moved to Residence 2000-2009 (%),Moved to Residence 1990-1999 (%),Moved to Residence 1980-1989 (%),No Heat (%),No Landline Phone (%),Live in Crowded Housing (%),Income Spent on Housing (%),"Foreclosure Rate, 2013 (% Parcels)","24-month Vacancy Rate, 2013 (%)",No Car Ownership (%),Walk to Work (%),Bike to Work (%),Drive Car to Work (%),Public Transportation to Work (%),"Performing Arts and Amusement Licenses, 2013 (per 1,000 residents)","Block Parties, 2012 (per 1,000 Residents)","Property Crime Rate, 2014 (per 1,000)","Violent Crime Rate, 2014 (per 1,000)","Shooting Incidents, 2014","Juvenile Arrest Rate (per 1,000)","Juvenile Marijuana Arrest Rate (per 1,000)","Juvenile Victim of Crime Rate (per 1,000)",Private Medical Insurance (%),Uninsured (%),Uninsured Among Employed (%),Uninsured Among Unemployed (%)
2,West Ridge ,1,4.5,0.41,56,39.5,29.4,10.6,70.2,24.80,4.57,80.3,6081,20.4,34.7,131.1,190.2,157.8,39.4,24.5,0.9,16.7,19.6,58.3,13.2,5.7,22,5.4,5.4,8.6,5.5,4,1.9,2.8,24.9,292.2,46,0.024,0.150,0.709,0.630,73705,-406,-642,7,-4,20.70,43.12,10.42,23.18,45.16,23.77,10.01,28.15,8.00,25.85,12.62,33.80,16.66,22.63,9.19,36.67,27.63,49134,24682,8.81,16.03,17.15,28.62,12.92,20.75,79.25,35.78,83.28,30.53,261943,-33.7,11.71,50.46,49.54,9.93,57.17,16.83,7.97,0.48,2.34,2.61,40.18,1.4,1.6,17.87,6.10,0.94,73.79,17.83,0.05,0.69,16.85,2.95,4,10.86,1.53,13.32,49.68,23.61,29.96,52.65
1,Rogers Park ,1,5,0.69,20,41.2,32.8,11.6,68.9,32.81,3.00,77.3,6793,21.7,32.7,196.9,264,186.2,42.4,27.6,1.5,21.7,29.6,79,13.8,11.3,26,5.1,5.1,6.7,7.5,9.6,3.9,1.3,47.5,406.8,39,-0.183,0.015,0.709,0.614,57559,-3185,1474,3,2,24.81,37.91,27.21,6.73,29.01,19.77,8.40,16.08,7.41,20.02,7.52,22.04,28.34,39.47,6.33,24.70,18.16,38422,23931,8.66,17.61,23.59,33.78,16.80,18.16,81.84,40.39,95.18,34.47,251483,,14.08,29.17,70.83,18.09,65.15,10.55,3.29,1.56,5.18,3.92,39.15,2,2.6,32.57,7.06,1.54,49.39,40.87,0.09,0.28,20.22,5.33,21,28.87,4.12,24.75,50.91,25.38,29.80,56.88
3,Uptown ,1,7.6,1.14,20,38.8,40.4,8.6,74,45.03,2.01,76,8951,21.1,43.4,202.4,284.2,172.9,44.2,25.6,1.2,18.6,28.2,88.5,18.7,15,27,5,5,3.6,9.1,14.5,11.4,3.3,45.6,416.3,20,0.454,0.358,0.645,0.639,54995,-4545,2100,9,6,12.75,52.31,20.11,11.64,25.02,13.35,10.82,13.68,4.89,11.93,10.31,11.58,31.21,39.78,8.99,13.11,15.96,44642,37002,8.93,16.65,24.02,31.49,16.29,11.83,88.17,52.00,81.74,11.68,288800,-21.8,9.26,32.23,67.77,17.11,63.88,13.03,3.72,1.77,6.27,2.37,32.46,1,2,42.61,5.40,3.14,42.87,46.66,0.33,0.33,20.83,3.97,10,17.52,2.72,19.96,59.78,20.35,21.34,49.62
4,Lincoln Square ,1,4.2,0.51,15,32.7,29.1,11.5,76.8,27.62,1.88,80.5,5604,14.1,30.1,138,200.3,164.9,44.1,27.8,0.6,8.9,22.4,53.7,14.6,6,22.5,2.5,2.5,5.3,6.8,6.4,5.8,1,31.1,301.4,17,0.450,0.496,0.541,0.647,38622,-3289,1902,11,0,19.37,63.00,4.57,10.52,26.89,13.54,8.09,17.01,7.37,16.39,9.13,20.00,17.48,21.68,5.13,21.59,18.98,61880,39608,8.24,7.09,10.86,16.23,9.82,13.39,86.61,54.37,81.85,20.08,378655,-25.7,9.63,39.84,60.16,14.86,59.99,12.96,7.35,1.39,2.20,1.78,30.06,0.7,1.4,20.89,3.95,1.85,58.57,34.23,0.21,1.17,17.70,2.10,2,23.09,1.98,17.17,68.44,16.94,18.38,49.83
5,North Center ,2,4,0.17,16,32.2,27.3,9.2,85.6,21.21,1.43,81.5,3897,17.4,41.9,133.7,195,157.7,53.7,20.4,0.8,24.4,18.7,48.9,12,3.6,18,1,1,0.8,7.3,6.1,6.1,1,36.5,306.7,6,0.647,0.578,0.377,0.623,33418,639,1452,13,2,13.09,78.84,1.42,4.17,11.42,3.88,5.86,6.26,9.26,18.68,7.48,22.89,10.27,13.44,5.18,23.49,3.41,90876,58895,5.21,3.16,7.52,1.97,7.54,4.54,95.46,68.13,49.76,6.09,508264,0.7,10.45,52.69,47.31,15.32,57.87,12.33,6.81,0.26,1.32,0.22,25.04,0.6,1.9,12.13,3.99,2.53,63.38,29.10,0.26,3.52,23.72,1.82,0,13.29,1.99,15.28,84.86,8.92,9.68,37.99
6,Lake View,2,3,0.29,34,30,7.9,10.2,83.5,24.93,1.18,81.9,3338,13.3,26.8,119.8,172.5,137.3,37.2,20.5,1.3,14,21.2,41.6,13.7,5.7,20.1,1.3,1.3,2.6,8.7,7.1,6.9,1.6,20.8,256.2,5,0.719,0.581,0.347,0.652,96539,-1030,-2002,11,0,7.53,79.80,3.69,6.93,11.98,5.76,5.83,4.98,5.08,10.15,6.81,11.30,9.90,14.58,5.83,11.56,2.90,81379,59964,4.74,3.18,11.39,7.15,8.86,2.59,97.41,77.70,47.77,13.27,434188,-4.2,9.29,37.45,62.55,20.74,62.62,9.36,4.26,1.62,2.47,0.54,26.62,0.4,1.9,35.69,5.50,1.52,40.17,51.33,0.68,0.51,28.59,3.74,6,17.41,1.74,11.03,84.90,9.27,8.87,35.71
7,Lincoln Park,2,3.6,0.36,23,27,1.5,12.6,81.6,7.21,0.33,81.3,2878,11.5,29.9,126.1,193.8,149.2,35.7,13.3,0,16,29.7,49.9,24.7,2.8,16.3,1.1,1.1,1.9,7.3,7,4.2,1.9,29.1,296.2,2,0.845,0.727,0.326,0.644,64631,-2322,-4106,11,0,6.56,81.48,4.23,5.74,10.21,5.07,5.12,3.19,5.02,13.75,7.71,14.94,12.31,16.14,6.91,15.20,1.73,93719,71094,5.07,3.59,12.31,5.75,9.04,3.63,96.37,82.20,39.92,15.72,544255,-13.8,10.37,45.54,54.46,20.21,58.31,11.33,5.17,0.89,2.33,0.54,27.39,0.4,1.5,30.44,7.46,2.13,43.15,44.17,0.64,0.45,35.92,2.68,2,11.48,1.32,17.56,89.18,5.45,5.68,21.52
8,Near North Side ,3,5.7,1.30,24,37.2,24.3,11,77.5,35.84,1.35,85.2,4317,20.2,21.9,83.6,131.3,138.2,35.8,24.6,1.9,13,9.4,25.1,13.8,1.2,17.2,1.2,1.2,2.5,9.6,8.3,5,0.9,15.4,202.2,1,0.823,0.770,0.466,0.652,80516,7382,5385,11,2,5.58,71.76,9.47,10.84,17.58,8.92,6.64,5.15,3.00,7.32,15.31,6.28,29.94,32.36,10.16,6.59,9.13,77065,86780,6.98,4.60,12.87,29.93,10.23,2.49,97.51,76.53,49.46,6.05,444210,2.7,16.86,44.85,55.15,20.87,59.71,10.70,5.40,1.39,2.75,1.28,27.30,0.3,1.4,43.32,32.74,1.34,32.68,26.66,1.72,0.03,54.02,4.81,8,80.07,2.85,37.43,83.38,7.11,5.64,34.75
9,Edison Park ,1,5.7,0.00,2,32.8,3.9,,84.8,0.00,3.48,81,5488,14.4,32,109.8,167.5,173.2,39.7,13.5,1.6,15.7,22.1,48.5,17.8,1.9,22.5,0,0,8.7,9,3.9,3.1,0,19.3,259,8,0.774,0.607,0.179,0.642,11135,-30,131,11,0,4.47,92.22,0.00,2.16,12.97,2.50,10.19,5.76,3.21,20.26,14.97,23.02,12.66,14.92,11.90,24.43,12.76,82441,40207,6.77,1.17,3.30,2.47,8.44,7.39,92.61,41.96,24.93,,350167,-35.6,6.60,79.87,20.13,8.88,42.22,21.12,8.55,0.22,1.12,0.97,18.44,0.6,1.1,11.47,5.19,0.23,82.44,11.55,0.37,3.47,6.26,0.44,0,1.23,0.00,6.17,85.49,7.97,10.95,38.31
10,Norwood Park,1,3.1,0.35,11,30.3,6.8,10,84.8,5.63,1.67,80.9,5936,14.4,39.4,139.8,204.9,178.5,47.7,24.4,0.8,19.3,16.8,47.5,12.7,1.1,25.1,5.4,5.4,5.8,11.1,9.5,4.3,2,22.5,312.4,21,0.667,0.605,0.355,0.645,37429,-1074,-158,7,-1,12.62,81.50,0.73,4.30,22.13,6.79,11.52,13.39,5.84,20.28,19.45,25.00,13.68,17.05,15.38,26.67,14.00,69834,33449,8.78,4.01,5.46,4.47,8.44,10.85,89.15,32.82,46.90,17.79,322725,-38.7,5.74,80.90,19.10,3.27,41.72,21.82,13.54,0.14,1.69,0.48,24.54,0.9,0.8,9.78,1.32,0.06,87.36,10.73,0.02,2.09,10.10,1.02,0,11.10,3.40,10.31,79.63,9.28,10.45,35.17
