CommunityArea,Region,Total Population,"Change in Population, 2000-2010 (%)",Hispanic (%),Non-Hispanic Black (%),Non-Hispanic White (%),Asian (%),Other or Multiple Races (%),"Children with All Parents in Labor Force, 0-5 (%)","Children with All Parents in Labor Force, 6-17 (%)","Children in Poverty, 0-5 (%)","Children in Poverty, 6-17 (%)","Children below 185% of Poverty Line, 0-5 (%)","Children below 185% of Poverty Line, 6-17 (%)","Hardship Index, 2010",Childhood Opportunity Index,Gentrification Index 2000 to 2010,Life Expectancy at Birth 2010,Change in 25-34 w College Degree 2000 - 2011,Low Birth Weight Rate (%) 2009,"Infant Mortality Rate (Per 1,000 Live Births) 2010",Owner-Occupied housing % 2012,College Education % 2012,Families in poverty % 2012,"% Households with SNAP Benefits, 2011",Unemployment Rate 2011 (%),Stroke,CHD,Heart Failure,Cancer,Lung Cancer,Diabetes,Homicide,Unintentional Injury,Premature Mortality Rate (YPLL 2011),Premature Diabetes Mortality Rate (YPLL 2011)
Rogers Park,1,54991,-13.4,24,26,39,6,4,62,74,37,37,55,64,39,1.0225135,2,77.3,"1,474",11,6.4,29,40,22,16.91,7.91,32.7,196.9,264,186.2,42.4,79,5.1,26,6793,328
West Ridge,1,71942,-1.7,20,11,43,22,3,51,60,28,25,56,51,46,1.168189,-4,80.3,-642,8.1,5.1,49,36,16,14.13,9.08,34.7,131.1,190.2,157.8,39.4,58.3,5.4,22,6081,405
Uptown,1,56362,-11.3,14,20,52,11,3,60,64,31,53,45,74,20,1.405651,6,76,"2,100",8.3,6.5,32,52,18,15.31,8.50,43.4,202.4,284.2,172.9,44.2,88.5,5,27,8951,744
Lincoln Square,1,39493,-11.4,19,4,63,11,3,68,61,15,26,31,52,17,1.5407525,0,80.5,"1,902",8.1,3.8,38,54,8,6.18,6.92,30.1,138,200.3,164.9,44.1,53.7,2.5,22.5,5604,350
North Center,2,31867,-0.1,14,2,77,5,2,66,69,8,4,10,9,6,1.644164,2,81.5,"1,452",9.1,2.7,48,68,2,2.99,4.64,41.9,133.7,195,157.7,53.7,48.9,1,18,3897,212
Lake View,2,94368,-0.5,8,4,80,6,2,54,57,4,4,7,12,5,1.6632905,0,81.9,"-2,002",6.3,2.2,37,78,4,2.71,4.70,26.8,119.8,172.5,137.3,37.2,41.6,1.3,20.1,3338,101
Lincoln Park,2,64116,-0.3,6,4,83,5,2,52,52,3,8,4,11,2,1.9234065,0,81.3,"-4,106",6.6,2.4,43,82,4,3.35,4.68,29.9,126.1,193.8,149.2,35.7,49.9,1.1,16.3,2878,227
Near North Side,3,83728,10.5,5,11,72,10,2,53,68,21,35,37,49,1,1.9053565,2,85.2,"5,385",8.6,6.5,45,76,8,5.19,6.21,21.9,83.6,131.3,138.2,35.8,25.1,1.2,17.2,4317,215
Edison Park,1,11341,-0.6,8,0,88,2,1,66,75,0,3,0,4,8,1.5842645,0,81,131,7.9,4.6,77,42,1,0.92,7.16,32,109.8,167.5,173.2,39.7,48.5,0,22.5,5488,128
Norwood Park,1,36742,-1.7,12,0,81,5,2,64,73,3,7,6,17,21,1.5495945,-1,80.9,-158,4.9,4.4,79,31,4,2.85,7.91,39.4,139.8,204.9,178.5,47.7,47.5,5.4,25.1,5936,364
Jefferson Park,1,25448,-1.6,19,1,69,9,2,59,65,1,5,24,17,25,1.1893605,0,79.7,239,6.6,8.3,64,29,5,4.60,11.52,39.9,136,197.1,198.6,49.1,48,6.7,26.8,6934,303
Forest Glen,1,18508,1.9,11,1,75,11,2,58,71,5,5,11,12,11,1.6588065,-2,83.4,-101,7.6,3.8,86,56,5,4.50,6.25,27.3,93.7,142.3,144.4,25.9,31.7,0.7,22.7,3783,173
North Park,1,17931,-3.1,18,3,49,26,4,62,69,18,4,28,29,33,1.5251855,0,84.4,124,9.7,5.4,52,42,9,7.61,8.77,22.6,104.7,148.3,143.3,43.3,55.8,2.1,13.9,4673,343
Albany Park,1,51542,-10.6,49,4,29,14,3,60,69,30,29,58,59,53,1.1533615,-2,80.6,898,8.5,4.9,39,26,17,14.70,10.03,36.1,120.4,171.4,170.5,44.9,70,4.2,21.7,4928,244
Portage Park,4,64124,-1.9,39,1,54,5,2,67,68,17,21,37,45,35,1.1213695,-2,80.3,294,6.9,4.7,55,23,11,9.86,12.24,34.2,156.5,219.1,156.1,42.1,46.3,4.5,25.6,6521,327
Irving Park,4,53359,-9,46,3,42,7,2,67,75,18,13,39,35,34,1.1860475,2,79.6,"1,895",7.7,5.3,46,33,11,9.40,10.42,35.1,136.4,198.6,169,39.7,63.1,5.2,24.4,5984,441
Dunning,4,41932,-0.6,24,1,70,4,1,66,74,8,12,22,24,28,1.1566135,0,79.8,741,6.8,4.9,76,24,7,4.85,9.07,33.6,137.5,195.3,182,45.2,46.6,4.3,30.8,6189,315
Montclaire,4,13426,6.2,54,4,38,3,1,88,83,11,8,25,34,50,0.932399,-6,79.6,27,8.3,4.6,59,18,12,12.29,11.96,39.5,161,216,162,35,86,10.2,28.9,6449,446
Belmont Cragin,4,78743,0.8,79,3,15,2,1,60,69,33,26,65,60,70,0.8206325,-6,79.5,405,6.9,5.6,48,11,19,17.16,13.12,31.7,158.5,220.6,154.5,43.8,62.6,5.4,24.4,5783,361
